catalog_id,title,region,edition,family_key,provisional_work_key,content_type,role,target_field,proposed_company,proposed_company_slug,source_names,company_resolution,current_company,recommended_action,confidence,safe_for_catalog_import,evidence_scope,source_count,sources,source_grades,source_urls,evidence_summary,guardrail,identifier_warning,current_cusa,pricecharting_model_cusa,publication_status
ps4-f1-2019,F1 2019,PAL España,standard,f1 2019,f1 2019,GAME_OR_UNKNOWN,DEVELOPER,developer,Codemasters,codemasters,Codemasters,EXACT_NAME_OR_ALIAS,Codemasters Birmingham,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/f1-2019 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.wikidata.org/wiki/Q63113436 | https://gamesdb.launchbox-app.com/games/details/208804,La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA14382_00,,HIGH_REPLACEMENT_BLOCKED
ps4-f1-2020,F1 2020,PAL España,standard,f1 2020,f1 2020,GAME_OR_UNKNOWN,DEVELOPER,developer,Codemasters,codemasters,Codemasters,EXACT_NAME_OR_ALIAS,Codemasters Birmingham,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/f1-2020 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.wikidata.org/wiki/Q91441450 | https://gamesdb.launchbox-app.com/games/details/208803,La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA16283_00,CUSA16283_00,HIGH_REPLACEMENT_BLOCKED
ps4-f1-22,F1 22,PAL España,standard,f1 22,f1 22,GAME_OR_UNKNOWN,DEVELOPER,developer,Codemasters,codemasters,Codemasters,EXACT_NAME_OR_ALIAS,Codemasters Birmingham,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1692250 | https://www.wikidata.org/wiki/Q111676993 | https://gamesdb.launchbox-app.com/games/details/473160,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA29431_00,,HIGH_REPLACEMENT_BLOCKED
ps4-fifa-21,FIFA 21,PAL España,standard,fifa 21,fifa 21,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Electronic Arts,electronic-arts,Electronic Arts,EXACT_NAME_OR_ALIAS,EA Sports,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/fifa-21 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA18969_00,,HIGH_REPLACEMENT_BLOCKED
ps4-five-nights-at-freddy%27s-into-the-pit,Five Nights At Freddy's: Into The Pit,PAL España,standard,five nights at freddy s into the pit,five nights at freddy s into the pit,GAME_OR_UNKNOWN,DEVELOPER,developer,Mega Cat Studios,mega-cat-studios,Mega Cat Studios,EXACT_NAME_OR_ALIAS,"Mega Cat Studios, ScottGames",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,5,LAUNCHBOX_GAMES_DB | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/five-nights-at-freddy%27s-into-the-pit | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/2638370 | https://www.wikidata.org/wiki/Q124357509 | https://gamesdb.launchbox-app.com/games/details/475712,"El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA45094_00,,HIGH_REPLACEMENT_BLOCKED
ps4-ghost-of-tsushima,Ghost of Tsushima,PAL España,standard,ghost of tsushima,ghost of tsushima,GAME_OR_UNKNOWN,DEVELOPER,developer,Sucker Punch Productions,sucker-punch-productions,Sucker Punch Productions LLC | Sucker Punch Productions,EXACT_NAME_OR_ALIAS,"Sucker Punch Productions, L.L.C.",REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT | PS4_RELEASE,3,LAUNCHBOX_GAMES_DB | PLAYSTATION_STORE_EXPLICIT_CREDIT | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_PS4_RELEASE | C_DISCOVERY,https://store.playstation.com/es-es/product/EP9000-CUSA13323_00-GHOSTSHIP0000000 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/184978,Desarrollado por Sucker Punch Productions LLC | La lista específica de PS4 atribuye el desarrollo a esta compañía. | LaunchBox registra esta desarrolladora para su ficha de PS4.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA11456_00,,HIGH_REPLACEMENT_BLOCKED
ps4-god-of-war,God Of War,PAL España,standard,god of war,god of war,GAME_OR_UNKNOWN,DEVELOPER,developer,Santa Monica Studio,santa-monica-studio,Santa Monica Studio,EXACT_NAME_OR_ALIAS,Sony Santa Monica Studio,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,4,PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/god-of-war | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1593500 | https://www.wikidata.org/wiki/Q817369,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA07410_00,CUSA07410_00,HIGH_REPLACEMENT_BLOCKED
ps4-goodbye-deponia,Goodbye Deponia,PAL España,standard,goodbye deponia,goodbye deponia,GAME_OR_UNKNOWN,DEVELOPER,developer,Daedalic Entertainment,daedalic-entertainment,Daedalic Entertainment,EXACT_NAME_OR_ALIAS,Daedalic,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/241910 | https://www.wikidata.org/wiki/Q15743989,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA13788_00,,HIGH_REPLACEMENT_BLOCKED
ps4-gran-turismo-7,Gran Turismo 7,PAL España,standard,gran turismo 7,gran turismo 7,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Sony Interactive Entertainment,sony-interactive-entertainment,Sony Interactive Entertainment,EXACT_NAME_OR_ALIAS,PlayStation Studios,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | PAL_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST_PAL,B_EXACT_PHYSICAL | B_PAL_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/gran-turismo-7 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física. | La columna PAL de la lista de PS4 atribuye la publicación a esta compañía.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA24767_00,CUSA24767_00,HIGH_REPLACEMENT_BLOCKED
ps4-gravity-rush-remastered,Gravity Rush Remastered,PAL España,standard,gravity rush remastered,gravity rush,EDITION_VARIANT,DEVELOPER,developer,JAPAN Studio,japan-studio,Japan Studio,EXACT_NAME_OR_ALIAS,SCE Japan Studio,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK_OR_PS4_RELEASE,2,PRICECHARTING_EXACT_PAL_PAGE | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_PS4_RELEASE,https://www.pricecharting.com/game/pal-playstation-4/gravity-rush-remastered | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA02318_00,CUSA02318_00,HIGH_REPLACEMENT_BLOCKED
ps4-hack-gu-last-recode,.hack GU Last Recode,PAL España,standard,hack gu last recode,hack gu last recode,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Bandai Namco Entertainment Europe S.A.S.,bandai-namco-entertainment-europe-s-a-s,Bandai Namco Entertainment Europe S.A.S.,EXACT_NAME_OR_ALIAS,Namco Bandai Games,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,1,PRICECHARTING_EXACT_PAL_PAGE,B_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/hack-gu-last-recode,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_STRONG_TITLE_REVIEW,CUSA07691_00,CUSA07691_00,IDENTIFIER_BLOCKED
ps4-infamous-first-light,Infamous First Light,PAL España,standard,infamous first light,infamous first light,GAME_OR_UNKNOWN,DEVELOPER,developer,Sucker Punch Productions,sucker-punch-productions,Sucker Punch Productions LLC | Sucker Punch Productions,EXACT_NAME_OR_ALIAS,Sucker Punch,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK_OR_PS4_RELEASE | MATCHED_PS4_PRODUCT,2,PLAYSTATION_STORE_EXPLICIT_CREDIT | WIKIPEDIA_PS4_LIST,A_OFFICIAL_MATCHED_TITLE_CREDIT | B_PS4_RELEASE,https://store.playstation.com/es-es/product/EP9000-CUSA00897_00-FIRSTLIGHTSHIP00 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L),"Developed by Sucker Punch Productions, LLC | Developed by Sucker Punch Productions LLC | La lista específica de PS4 atribuye el desarrollo a esta compañía.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA00575_00,,HIGH_REPLACEMENT_BLOCKED
ps4-kholat,Kholat,PAL España,standard,kholat,kholat,GAME_OR_UNKNOWN,DEVELOPER,developer,IMGN.Pro,imgn-pro,Imgn Pro | IMGN.PRO,EXACT_NAME_OR_ALIAS,1MGN.PRO,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,2,STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/343710,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA04252_00,,HIGH_REPLACEMENT_BLOCKED
ps4-killing-floor-2,Killing Floor 2,PAL España,standard,killing floor 2,killing floor 2,GAME_OR_UNKNOWN,DEVELOPER,developer,Tripwire Interactive,tripwire-interactive,Tripwire Interactive,EXACT_NAME_OR_ALIAS,"Tripwire Interactive, Saber Interactive, Hardsuit Labs, Inc",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,6,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/killing-floor-2 | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/232090 | https://www.wikidata.org/wiki/Q16989070 | https://gamesdb.launchbox-app.com/games/details/148139,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA02134_00,,HIGH_REPLACEMENT_BLOCKED
ps4-knack,Knack,PAL España,standard,knack,knack,GAME_OR_UNKNOWN,DEVELOPER,developer,JAPAN Studio,japan-studio,Japan Studio,EXACT_NAME_OR_ALIAS,SCE Japan Studio,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,PRICECHARTING_EXACT_PAL_PAGE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_EXACT_PHYSICAL | B_PS4_RELEASE | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/knack | https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://www.wikidata.org/wiki/Q5102494,La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La lista específica de PS4 atribuye el desarrollo a esta compañía. | Wikidata registra la compañía como desarrolladora.,No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA00202_00,CUSA00202_00,HIGH_REPLACEMENT_BLOCKED
ps4-kowloon-high-school-chronicle,Kowloon High-School Chronicle,PAL España,standard,kowloon high school chronicle,kowloon high school chronicle,GAME_OR_UNKNOWN,DEVELOPER,developer,ToyBox inc.,toybox-inc,Toybox | TOYBOX,EXACT_NAME_OR_ALIAS,"Shout! Design Works, Toybox",REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK,3,PRICECHARTING_EXACT_PAL_PAGE | REGIONATLAS_LEGACY_PRICECHARTING_CREDIT | STEAM_STORE,B_EXACT_PHYSICAL | B_LEGACY_EXACT_PHYSICAL | B_OTHER_PLATFORM,https://www.pricecharting.com/game/pal-playstation-4/kowloon-high-school-chronicle | https://store.steampowered.com/app/1053390,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | El crédito actual procede de la importación histórica de la ficha física enlazada; se contrasta con la consulta en vivo. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,CUSA_STRONG_TITLE_REVIEW,CUSA27034_00,CUSA27034_00,IDENTIFIER_BLOCKED
ps4-lego-batman-3-beyond-gotham-blu-ray-&amp;-minifigure-edition,LEGO Batman 3: Beyond Gotham [Blu-Ray & Minifigure Edition],PAL España,standard,lego batman 3 beyond gotham,lego batman 3 beyond gotham,GAME_OR_UNKNOWN,DEVELOPER,developer,TT Games Ltd,tt-games,TT Games | TT Games Ltd,EXACT_NAME_OR_ALIAS,Traveller’s Tales,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,2,STEAM_STORE | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/313690,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,HIGH_REPLACEMENT_BLOCKED
ps4-lego-ninjago-movie,LEGO Ninjago Movie,PAL España,standard,lego ninjago movie,lego ninjago movie,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Warner Bros. Interactive Entertainment,warner-bros-interactive-entertainment,Warner Bros Interactive Entertainment,EXACT_NAME_OR_ALIAS,WB Games,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,1,PRICECHARTING_EXACT_PAL_PAGE,B_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/lego-ninjago-movie,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,CUSA_TITLE_CONFLICT,CUSA07744_00,CUSA07744_00,IDENTIFIER_BLOCKED
ps4-lego-star-wars-the-force-awakens-plush-edition,LEGO Star Wars: The Force Awakens [Plush Edition],PAL España,standard,lego star wars the force awakens,lego star wars the force awakens,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Warner Bros. Interactive Entertainment,warner-bros-interactive-entertainment,Warner Bros. Interactive Entertainment,EXACT_NAME_OR_ALIAS,WB Games,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,1,PRICECHARTING_EXACT_PAL_PAGE,B_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/lego-star-wars-the-force-awakens-plush-edition,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA03397_00,CUSA03397_00,HIGH_REPLACEMENT_BLOCKED
ps4-lego-star-wars-the-skywalker-saga-galactic-edition,Lego Star Wars The Skywalker Saga [Galactic Edition],PAL España,standard,lego star wars the skywalker saga,lego star wars the skywalker saga,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Warner Bros. Interactive Entertainment,warner-bros-interactive-entertainment,Warner Bros. Interactive Entertainment,EXACT_NAME_OR_ALIAS,WB Games,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,1,PRICECHARTING_EXACT_PAL_PAGE,B_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/lego-star-wars-the-skywalker-saga-galactic-edition,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA13793_00,CUSA13793_00,HIGH_REPLACEMENT_BLOCKED
ps4-leisure-suit-larry-wet-dreams-don%27t-dry,Leisure Suit Larry: Wet Dreams Don't Dry,PAL España,standard,leisure suit larry wet dreams don t dry,leisure suit larry wet dreams don t dry,GAME_OR_UNKNOWN,DEVELOPER,developer,CrazyBunch,crazybunch,CrazyBunch,EXACT_NAME_OR_ALIAS,Assemble,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/765870 | https://www.wikidata.org/wiki/Q55393049,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA14458_00,,HIGH_REPLACEMENT_BLOCKED
ps4-like-a-dragon-infinite-wealth,Like a Dragon: Infinite Wealth,PAL España,standard,like a dragon infinite wealth,like a dragon infinite wealth,GAME_OR_UNKNOWN,DEVELOPER,developer,Ryu Ga Gotoku Studio,ryu-ga-gotoku-studio,Ryu Ga Gotoku Studio | Ryu ga Gotoku Studio,EXACT_NAME_OR_ALIAS,Ryuu ga Gotoku Studio,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/2072450 | https://www.wikidata.org/wiki/Q116980062,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA32137_00,CUSA32137_00,HIGH_REPLACEMENT_BLOCKED
ps4-like-a-dragon-ishin,Like a Dragon: Ishin,PAL España,standard,like a dragon ishin,like a dragon ishin,GAME_OR_UNKNOWN,DEVELOPER,developer,Ryu Ga Gotoku Studio,ryu-ga-gotoku-studio,Ryu Ga Gotoku Studio | Ryu ga Gotoku Studio,EXACT_NAME_OR_ALIAS,Ryuu ga Gotoku Studio,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE,3,STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1805480 | https://www.wikidata.org/wiki/Q113961026,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA32174_00,CUSA32174_00,HIGH_REPLACEMENT_BLOCKED
ps4-little-town-hero-big-idea-edition,Little Town Hero [Big Idea Edition],PAL España,standard,little town hero,little town hero,GAME_OR_UNKNOWN,DEVELOPER,developer,Game Freak,game-freak,Game Freak | GAME FREAK inc. | Game Freak Inc.,EXACT_NAME_OR_ALIAS,GameFreak,REPLACE_OR_ADD_REVIEW,HIGH,NO,GAME_WORK | GAME_WORK_OR_PS4_RELEASE | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | STEAM_STORE | WIKIDATA | WIKIPEDIA_PS4_LIST,B_OTHER_PLATFORM | B_PS4_RELEASE | C_DISCOVERY,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.steampowered.com/app/1183510 | https://www.wikidata.org/wiki/Q67138302 | https://gamesdb.launchbox-app.com/games/details/475897,"La lista específica de PS4 atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,,,HIGH_REPLACEMENT_BLOCKED
ps4-maneater,Maneater,PAL España,standard,maneater,maneater,GAME_OR_UNKNOWN,DEVELOPER,developer,Tripwire Interactive,tripwire-interactive,Tripwire Interactive,EXACT_NAME_OR_ALIAS,Blindside Interactive,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION | GAME_WORK | PS4_RELEASE,4,LAUNCHBOX_GAMES_DB | PRICECHARTING_EXACT_PAL_PAGE | STEAM_STORE | WIKIDATA,B_EXACT_PHYSICAL | B_OTHER_PLATFORM | C_DISCOVERY,https://www.pricecharting.com/game/pal-playstation-4/maneater | https://store.steampowered.com/app/629820 | https://www.wikidata.org/wiki/Q62393478 | https://gamesdb.launchbox-app.com/games/details/473488,"La ficha enlazada de la edición física PAL atribuye el desarrollo a esta compañía. | La ficha comercial de Steam confirma la desarrolladora de la obra, no necesariamente el port de PS4. | Wikidata registra la compañía como desarrolladora. | LaunchBox registra esta desarrolladora para su ficha de PS4.",No propagar a ports o compilaciones sin comprobar sus créditos propios.,,CUSA14538_00,CUSA14538_00,HIGH_REPLACEMENT_BLOCKED
ps4-maneater,Maneater,PAL España,standard,maneater,maneater,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,publisher,Deep SIlver,deep-silver,Deep Silver,EXACT_NAME_OR_ALIAS,Tripwire Interactive,REPLACE_OR_ADD_REVIEW,HIGH,NO,EXACT_PHYSICAL_EDITION,1,PRICECHARTING_EXACT_PAL_PAGE,B_EXACT_PHYSICAL,https://www.pricecharting.com/game/pal-playstation-4/maneater,La ficha exacta de la edición física PAL etiqueta a esta compañía como Publisher; puede representar publicación o distribución física.,Confirmar si la etiqueta Publisher representa publicación o distribución en la caja PAL.,,CUSA14538_00,CUSA14538_00,HIGH_REPLACEMENT_BLOCKED
