slug,company_name,game_count,role_kind,logo_file,logo_type,authentic_logo,confidence,requires_manual_review,selected_qid,selected_entity_label,entity_resolution_method,source_filename,source_page_url,image_source_url,source_license,source_license_url,source_credit,source_artist,official_websites,wikidata_url,wikipedia_es_url,wikipedia_en_url,regionatlas_url,company_inception,company_dissolved,parent_organization_qids,owner_qids,predecessor_qids,successor_qids,mime,width,height,sha256,notes
artisan-studios,Artisan Studios,6,developer,company-logos/artisan-studios.png,SITIO_OFICIAL_DOCUMENTADO,TRUE,VERY_HIGH,TRUE,Q107630742,Artisan Studios,WIKIDATA_SEARCH_EXACT_LABEL,artisan-logo.png,https://www.artisangamestudios.com/,https://www.artisangamestudios.com/img/artisan-logo.png,Official-site asset; copyright/trademark status not explicitly licensed,,,,https://www.artisangamestudios.com/,https://www.wikidata.org/wiki/Q107630742,,,https://www.regionatlas.games/compania/artisan-studios,+2016-00-00T00:00:00Z,,,,,,image/png,500,800,c92d7d94a86e4ff533231aada3f57e475b600c8e751233ff44337b0bffbf012f,Official-site asset; copyright/trademark license was not explicitly stated and should be reviewed before publication.
bandai-visual-emotion-digital-software,Bandai Visual (Emotion Digital Software),6,both,company-logos/bandai-visual-emotion-digital-software.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/bandai-visual-emotion-digital-software,,,,,,,image/svg+xml,1200,600,643156a0070d43fbac3d8d29b485566d8cfc12a12ef7d30d86001d83f9a3090d,No exact authentic logo was documented in the researched sources.
bitmasters,Bitmasters,6,developer,company-logos/bitmasters.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q139796644,Bitmasters,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q139796644,,,https://www.regionatlas.games/compania/bitmasters,+1990-00-00T00:00:00Z,,,,,,image/svg+xml,1200,600,f517a364f7adb535bb30a5ba5538fd51408737c20817fea4da0745d17818f885,Exact entity located but no documented logo claim was available.
bits-laboratory,Bits Laboratory,6,developer,company-logos/bits-laboratory.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q19953035,Bits Laboratory,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q19953035,,,https://www.regionatlas.games/compania/bits-laboratory,+1985-01-01T00:00:00Z,,Q1054844,,,,image/svg+xml,1200,600,f9cece2fbadeb50f1a4cc1e0c128f4ef049a115db30ca15d854f6d5c6ce14c28,Exact entity located but no documented logo claim was available.
black-bean-games,Black Bean Games,6,both,company-logos/black-bean-games.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q4920339,Black Bean Games,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,http://www.blackbeangames.com,https://www.wikidata.org/wiki/Q4920339,,,https://www.regionatlas.games/compania/black-bean-games,+2004-00-00T00:00:00Z,+2012-00-00T00:00:00Z,,,,,image/svg+xml,1200,600,3accef3b6dbef73ea030161d8fdebf23516ecddacc973a2f9d37874957c07d4d,Exact entity located but no documented logo claim was available.
black-forest-games,Black Forest Games,6,both,company-logos/black-forest-games.png,SITIO_OFICIAL_DOCUMENTADO,TRUE,VERY_HIGH,TRUE,Q212092,Black Forest Games,WIKIDATA_SEARCH_EXACT_LABEL,Black_Forest_Games_companylogo.png,https://black-forest-games.com,https://black-forest-games.com/wp-content/uploads/2018/04/Black_Forest_Games_companylogo.png,Official-site asset; copyright/trademark status not explicitly licensed,,,,https://black-forest-games.com,https://www.wikidata.org/wiki/Q212092,,https://en.wikipedia.org/wiki/Black_Forest_Games,https://www.regionatlas.games/compania/black-forest-games,+2012-00-00T00:00:00Z,,,,,,image/png,600,600,2da4cfa8814a71b19ffcba8be505d0e7c8c039687bd2d538bc74e9f5245caa48,Official-site asset; copyright/trademark license was not explicitly stated and should be reviewed before publication.
black-lantern-studios,Black Lantern Studios,6,developer,company-logos/black-lantern-studios.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/black-lantern-studios,,,,,,,image/svg+xml,1200,600,287ba870ac8b89882c770700d155c8b30f6b82a394bc2d51630eecf03c9c238f,No exact authentic logo was documented in the researched sources.
black-pearl-thq,Black Pearl (THQ),6,both,company-logos/black-pearl-thq.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/black-pearl-thq,,,,,,,image/svg+xml,1200,600,5b8ee5eb404d740b2863605eaacb487335363ca7b26d0c10f069cc6b5831272f,No exact authentic logo was documented in the researched sources.
blitworks,BlitWorks,6,developer,company-logos/blitworks.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/blitworks,,,,,,,image/svg+xml,1200,600,c5dbf87f42b0ca89d564f9f4581a86dc56435ef5259b17e7878be1668074d18f,No exact authentic logo was documented in the researched sources.
blue-castle-games,Blue Castle Games,6,developer,company-logos/blue-castle-games.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q48889869,Blue Castle Games,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q48889869,,,https://www.regionatlas.games/compania/blue-castle-games,+2005-00-00T00:00:00Z,,,,,,image/svg+xml,1200,600,4978e0d6758a378899a9b8baca77cb1a2db6100cd980db7289c45c1aaa2e85a2,Exact entity located but no documented logo claim was available.
brian-rice-inc,Brian A. Rice Inc,6,developer,company-logos/brian-rice-inc.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/brian-rice-inc,,,,,,,image/svg+xml,1200,600,9c6b11b851dec73bd7179186466f28c1579e4150433a73e89a83e3a7f219db75,No exact authentic logo was documented in the researched sources.
bugbear-entertainment,Bugbear Entertainment,6,developer,company-logos/bugbear-entertainment.png,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q972745,Bugbear Entertainment,WIKIDATA_SEARCH_EXACT_LABEL,Bugbearent.png,https://commons.wikimedia.org/wiki/File:Bugbearent.png,https://upload.wikimedia.org/wikipedia/commons/e/e8/Bugbearent.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,https://e.snmc.io/lk/lv/x/f26efdf1beff9a91a1b3f20eb3475ad1/5278224,Unknown author Unknown author,http://www.bugbear.fi,https://www.wikidata.org/wiki/Q972745,https://es.wikipedia.org/wiki/Bugbear_Entertainment,https://en.wikipedia.org/wiki/Bugbear_Entertainment,https://www.regionatlas.games/compania/bugbear-entertainment,+2000-03-00T00:00:00Z,,Q1457468,,,,image/png,1000,300,eb2b528bc927e74d9b88779144b7f27a1bbb118a2fe2a94d6f7bec75260ac244,
clockwork-games,Clockwork Games,6,developer,company-logos/clockwork-games.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q139784284,Clockwork Games,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q139784284,,,https://www.regionatlas.games/compania/clockwork-games,,,,,,,image/svg+xml,1200,600,bffac1db406491648fb43e22af7a3d51e012e154fdec3eccd5bee8b95db5a9c7,Exact entity located but no documented logo claim was available.
code-mystics,Code Mystics,6,developer,company-logos/code-mystics.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q24902262,Code Mystics,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,http://www.codemystics.com,https://www.wikidata.org/wiki/Q24902262,,,https://www.regionatlas.games/compania/code-mystics,+2009-00-00T00:00:00Z,,,,,,image/svg+xml,1200,600,5d677d90911179113bafc0503578e7deb969c083b65b8321ea73b889dd66fd82,Exact entity located but no documented logo claim was available.
daikoku,Daikoku,6,publisher,company-logos/daikoku.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/daikoku,,,,,,,image/svg+xml,1200,600,376c91e7779826d1c6c220b0e1c98742633b3179ac10b814f9173ff87b51107d,No exact authentic logo was documented in the researched sources.
db-soft,DB Soft,6,both,company-logos/db-soft.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q11320972,dB-SOFT,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,http://www.db-soft.co.jp/,https://www.wikidata.org/wiki/Q11320972,,https://en.wikipedia.org/wiki/DB-SOFT,https://www.regionatlas.games/compania/db-soft,+1980-05-02T00:00:00Z,+2001-00-00T00:00:00Z,,,,,image/svg+xml,1200,600,921efd1b67908bfb32abb25a6183ac8f91bf50a8dae31ffb39ea954002f5d5a5,Exact entity located but no documented logo claim was available.
diamond-head,Diamond Head,6,developer,company-logos/diamond-head.svg,PLACEHOLDER_GENERADO,FALSE,LOW,TRUE,,,ALIAS_MAY_BE_RENAME_OR_SUCCESSOR,,,,,,,,,,,,https://www.regionatlas.games/compania/diamond-head,,,,,,,image/svg+xml,1200,600,e3c8f9badd622b33a8150512e2acebd6fd800e8e32658f92fe4a3fe6d712197d,No exact authentic logo was documented in the researched sources.
dovetail-games,Dovetail Games,6,both,company-logos/dovetail-games.svg,PLACEHOLDER_GENERADO,FALSE,HIGH,TRUE,Q7284120,Dovetail Games,MANUAL_REVIEWED_OVERRIDE,,,,,,,,http://train-simulator.com | http://www.dovetailgames.com,https://www.wikidata.org/wiki/Q7284120,,https://en.wikipedia.org/wiki/Dovetail_Games,https://www.regionatlas.games/compania/dovetail-games,+2008-00-00T00:00:00Z,,,,,,image/svg+xml,1200,600,7e6832dace7850cabe6f7956b7535c4f8c8db398568014947132de2c7f901d1a,"exact company entity | The recovered site asset is the Train Sim Classic product logo, not the Dovetail Games company logo. | Exact entity located but no documented logo claim was available."
dsi-games,DSI Games,6,both,company-logos/dsi-games.svg,PLACEHOLDER_GENERADO,FALSE,LOW,TRUE,,,ALIAS_MAY_BE_RENAME_OR_SUCCESSOR,,,,,,,,,,,,https://www.regionatlas.games/compania/dsi-games,,,,,,,image/svg+xml,1200,600,5501b40ec9ddd8fac712453eb659b84b1c103097e8c33b6361f427ed25fe8c4e,No exact authentic logo was documented in the researched sources.
dual,Dual,6,developer,company-logos/dual.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/dual,,,,,,,image/svg+xml,1200,600,93b50e738db6e992fe39ba2db70637f42e9400d8335e3414e15b37215b7470ba,No exact authentic logo was documented in the researched sources.
dynamix,Dynamix,6,both,company-logos/dynamix.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q1269052,Dynamix,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,http://www.sierra.com/,https://www.wikidata.org/wiki/Q1269052,,https://en.wikipedia.org/wiki/Dynamix,https://www.regionatlas.games/compania/dynamix,+1984-00-00T00:00:00Z,+2001-00-00T00:00:00Z,Q494614,Q494614,,,image/svg+xml,1200,600,1a9eea65109d97030172301efd3397e81ecee7171c1ac18a58e2bdd7d81c585a,Exact entity located but no documented logo claim was available.
eden-entertainment-software,Eden Entertainment Software,6,developer,company-logos/eden-entertainment-software.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/eden-entertainment-software,,,,,,,image/svg+xml,1200,600,afec3df13d439a4161a4ef9e76a34fdb0b3a2e8a4a05a3c5d6bc88d6841a8229,No exact authentic logo was documented in the researched sources.
eden-games,Eden Games,6,developer,company-logos/eden-games.jpg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q1283542,Eden Games,WIKIDATA_SEARCH_EXACT_LABEL,LogoEdenGames.jpg,https://commons.wikimedia.org/wiki/File:LogoEdenGames.jpg,https://upload.wikimedia.org/wikipedia/commons/9/9f/LogoEdenGames.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,en.wikipedia.org,Eden Games,http://www.edengames.com/,https://www.wikidata.org/wiki/Q1283542,https://es.wikipedia.org/wiki/Eden_Games,https://en.wikipedia.org/wiki/Eden_Games,https://www.regionatlas.games/compania/eden-games,+1998-01-04T00:00:00Z | +1998-00-00T00:00:00Z,,Q753684,,,,image/jpeg,150,148,8387c4583e0398e6e11e3156f463b2db12167cd0aa0fabcecbf22c0b3fd68df9,
eko-software,EKO Software,6,developer,company-logos/eko-software.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/eko-software,,,,,,,image/svg+xml,1200,600,49e8ebbb0dd663b1f55a3090cd6cdd9ad5efcf66219c09711118216e467c6bbe,No exact authentic logo was documented in the researched sources.
elite-systems,Elite Systems,6,publisher,company-logos/elite-systems.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q1330823,Elite Systems,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,http://www.elite-systems.co.uk/,https://www.wikidata.org/wiki/Q1330823,https://es.wikipedia.org/wiki/Elite_Systems,https://en.wikipedia.org/wiki/Elite_Systems,https://www.regionatlas.games/compania/elite-systems,+1984-00-00T00:00:00Z,,,,,,image/svg+xml,1200,600,659786f7509de33afb12a47b53f28255b5a029a1e8c2239f0cdd818e709f6176,Exact entity located but no documented logo claim was available.
falcon,Falcon,6,developer,company-logos/falcon.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/falcon,,,,,,,image/svg+xml,1200,600,abea0e67c03d879562025b458a589ac1a4438cc1c369728db507a5b7bd465ae4,No exact authentic logo was documented in the researched sources.
foreign-media-games,Foreign Media Games,6,both,company-logos/foreign-media-games.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q138504187,Foreign Media Games,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q138504187,,,https://www.regionatlas.games/compania/foreign-media-games,,+2010-10-00T00:00:00Z,Q138504187,,,,image/svg+xml,1200,600,0a996f60e14663ae5c2342e8ba3b03de70ea96503f7964542b9d4ce589ecc867,Exact entity located but no documented logo claim was available.
fupac,Fupac,6,both,company-logos/fupac.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/fupac,,,,,,,image/svg+xml,1200,600,e8fd96bd2c69c8e24686e375fdc1a06a9c259cd80452d250de88bfcd91d45324,No exact authentic logo was documented in the researched sources.
gaga-communications,GaGa Communications,6,both,company-logos/gaga-communications.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/gaga-communications,,,,,,,image/svg+xml,1200,600,fd1a8a110f3e5c8b7e3624ebbdcb3ba9aa2938f9046586fdd66ecbe3868a3ccf,No exact authentic logo was documented in the researched sources.
gainax,Gainax,6,both,company-logos/gainax.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q834328,Gainax,WIKIDATA_SEARCH_EXACT_LABEL,GAINAX.svg,https://commons.wikimedia.org/wiki/File:GAINAX.svg,https://upload.wikimedia.org/wikipedia/commons/2/27/GAINAX.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Vorlage: http://www.gainax.co.jp/img/logo_entrance.gif,Autor der Vektorgrafik: ツンヅくん,https://www.gainax.co.jp/,https://www.wikidata.org/wiki/Q834328,https://es.wikipedia.org/wiki/Gainax,https://en.wikipedia.org/wiki/Gainax,https://www.regionatlas.games/compania/gainax,+1984-12-24T00:00:00Z,+2024-05-29T00:00:00Z,,,Q5204243,,image/svg+xml,500,111,9379063d1f638a6200fb87b1d654365e88e6ec13124f0ee28ec0c9b83440f376,
game-refuge,Game Refuge,6,developer,company-logos/game-refuge.svg,PLACEHOLDER_GENERADO,FALSE,HIGH,TRUE,Q15070340,Game Refuge Inc.,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q15070340,,https://en.wikipedia.org/wiki/Game_Refuge,https://www.regionatlas.games/compania/game-refuge,+1992-00-00T00:00:00Z,,,,,,image/svg+xml,1200,600,d4f9ee48c42478aefa547cfdaa805d2031ae100372ab8c0e6e4145df937f0da1,Exact entity located but no documented logo claim was available.
gaming-minds-studios,Gaming Minds Studios,6,developer,company-logos/gaming-minds-studios.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q18002304,Gaming Minds Studios,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,http://www.gamingmindsstudios.com/,https://www.wikidata.org/wiki/Q18002304,,,https://www.regionatlas.games/compania/gaming-minds-studios,+2009-00-00T00:00:00Z,,,Q26188,,,image/svg+xml,1200,600,65f7a375c5a798d93e071436ac3571eb4f32b57d2a7894cc4579cd3114fdfdc6,Exact entity located but no documented logo claim was available.
gearbox,Gearbox,6,both,company-logos/gearbox.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/gearbox,,,,,,,image/svg+xml,1200,600,859ed08b0df2e793c6cb00277a1a1b0afd4daf58d1448a336bbbb4945967e7ea,No exact authentic logo was documented in the researched sources.
genius-sonority,Genius Sonority Inc,6,developer,company-logos/genius-sonority.png,WIKIMEDIA_DOCUMENTADO,TRUE,HIGH,FALSE,Q2745586,Genius Sonority,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,Genius Sonority logo.png,https://commons.wikimedia.org/wiki/File:Genius_Sonority_logo.png,https://upload.wikimedia.org/wikipedia/commons/d/d3/Genius_Sonority_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,https://www.oracle.com/kr/customers/genius-sonority/,Genius Sonority,https://www.geniussonority.co.jp/,https://www.wikidata.org/wiki/Q2745586,https://es.wikipedia.org/wiki/Genius_Sonority,https://en.wikipedia.org/wiki/Genius_Sonority,https://www.regionatlas.games/compania/genius-sonority,+2002-06-00T00:00:00Z,,,,,,image/png,481,141,ec9074b781cbb1f3db63ac1978a363eac4370a5e5a0f9d4d3a3d70601bd7f4c5,
h2o-interactive,H2O Interactive,6,developer,company-logos/h2o-interactive.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/h2o-interactive,,,,,,,image/svg+xml,1200,600,1408d7d8a3e2fb31303e9aba5e4c52c29cc640c212fb42f9a55131947ad4c40c,No exact authentic logo was documented in the researched sources.
happinet,Happinet Corporation,6,both,company-logos/happinet.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/happinet,,,,,,,image/svg+xml,1200,600,d332d116a1818ce0c2b1e72314e51b2028aa5b4fa9fc80fe38733a7739341b46,No exact authentic logo was documented in the researched sources.
hijinx-studios,Hijinx Studios,6,developer,company-logos/hijinx-studios.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q104761747,Hijinx Studios,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,,https://www.wikidata.org/wiki/Q104761747,,,https://www.regionatlas.games/compania/hijinx-studios,,,,,,,image/svg+xml,1200,600,08f9691324fe9f77475e996e017105abfb609a3038b328a3591472c67fa4d55b,Exact entity located but no documented logo claim was available.
honey-parade-games,Honey Parade Games,6,developer,company-logos/honey-parade-games.svg,PLACEHOLDER_GENERADO,FALSE,VERY_HIGH,TRUE,Q90566255,Honey Parade Games,WIKIDATA_SEARCH_EXACT_LABEL,,,,,,,,https://www.hpgames.jp/,https://www.wikidata.org/wiki/Q90566255,,,https://www.regionatlas.games/compania/honey-parade-games,,,,,,,image/svg+xml,1200,600,d91f1b81b0a7ff85c4ca8fe201ea35364996fbe9aa569481d26202f803244951,Exact entity located but no documented logo claim was available.
hyde,Hyde,6,developer,company-logos/hyde.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/hyde,,,,,,,image/svg+xml,1200,600,b836257b9512f02dc88c8f8d1562e4ce7d79e0436999de830c1267aa309aa722,No exact authentic logo was documented in the researched sources.
hydravision-entertainment,Hydravision Entertainment,6,developer,company-logos/hydravision-entertainment.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/hydravision-entertainment,,,,,,,image/svg+xml,1200,600,885613531ad3b37457e890ae8bd7f997093bc0c9680037e374f625f87cbcebd5,No exact authentic logo was documented in the researched sources.
imax,I'Max,6,both,company-logos/imax.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/imax,,,,,,,image/svg+xml,1200,600,c66a46d6f70654f5cb301341ae9fe26bd8367b16ea098eaa7e9037eca868f8ff,No exact authentic logo was documented in the researched sources.
incinerator-games,Incinerator Games,6,developer,company-logos/incinerator-games.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/incinerator-games,,,,,,,image/svg+xml,1200,600,519a51789cfea17d9355f7e358a0039303da9e670fa6e52e40ebbe4cfbfa7773,No exact authentic logo was documented in the researched sources.
incredible-technologies,Incredible Technologies,6,developer,company-logos/incredible-technologies.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/incredible-technologies,,,,,,,image/svg+xml,1200,600,86c79c15a926f9a057fa3f16319bb481294ac14e03c819ffb84824db4f75e663,No exact authentic logo was documented in the researched sources.
interplay-entertainment,Interplay Entertainment,6,publisher,company-logos/interplay-entertainment.svg,WIKIMEDIA_DOCUMENTADO,TRUE,VERY_HIGH,FALSE,Q628249,Interplay Entertainment,WIKIDATA_SEARCH_EXACT_LABEL,Interplay Entertainment logo colored.svg,https://commons.wikimedia.org/wiki/File:Interplay_Entertainment_logo_colored.svg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Interplay_Entertainment_logo_colored.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Stonekeeper (1995) PDF manual on CD-ROM ( mirror ) ; colors derived from source code of https://www.interplay.com/,Interplay Entertainment,http://www.interplay.com/,https://www.wikidata.org/wiki/Q628249,https://es.wikipedia.org/wiki/Interplay_Entertainment,https://en.wikipedia.org/wiki/Interplay_Entertainment,https://www.regionatlas.games/compania/interplay-entertainment,+1983-10-00T00:00:00Z,,,,,,image/svg+xml,1290,636,19196d829570b4bd288d2e9e18c00adac7c9c4bb3e99138c6287177f70a4212c,
japan-system-house,Japan System House,6,developer,company-logos/japan-system-house.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/japan-system-house,,,,,,,image/svg+xml,1200,600,afa474c54f9b0aaf8e1518488db130b7eda49fd2532155b5e1262fee38cfe532,No exact authentic logo was documented in the researched sources.
joindots,Joindots GmbH,6,both,company-logos/joindots.svg,SITIO_OFICIAL_DOCUMENTADO,TRUE,HIGH,TRUE,Q109085363,Joindots,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,Joindots_Logo_2023_Kleinformat-RGB-1.svg,https://www.joindots.de/,https://www.joindots.de/wp-content/uploads/2024/09/Joindots_Logo_2023_Kleinformat-RGB-1.svg,Official-site asset; copyright/trademark status not explicitly licensed,,,,https://www.joindots.de/,https://www.wikidata.org/wiki/Q109085363,,,https://www.regionatlas.games/compania/joindots,,,,,,,image/svg+xml,675,420,29ec35ce84d67e36d779d91ab03e11009cff4c61e861666ba8296a669189de9c,Official-site asset; copyright/trademark license was not explicitly stated and should be reviewed before publication.
jupiter-corporation,Jupiter Corporation,6,developer,company-logos/jupiter-corporation.png,WIKIMEDIA_DOCUMENTADO,TRUE,HIGH,FALSE,Q2613004,Jupiter,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,Jupiter logo.png,https://commons.wikimedia.org/wiki/File:Jupiter_logo.png,https://upload.wikimedia.org/wikipedia/commons/7/78/Jupiter_logo.png?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,Modified from this image from www.jupiter.co.jp .,Jupiter Corporation,http://www.jupiter.co.jp | https://www.jupiter.co.jp/ | https://www.jupiter.co.jp/e/,https://www.wikidata.org/wiki/Q2613004,https://es.wikipedia.org/wiki/Jupiter_%28compa%C3%B1%C3%ADa%29,https://en.wikipedia.org/wiki/Jupiter_Corporation,https://www.regionatlas.games/compania/jupiter-corporation,+1992-06-11T00:00:00Z,,,,,,image/png,119,90,a6c596f15c59e009735d059f5e1b6df4e30e2e2a710a25829d05951b525897d6,
jvc-digital-studios,JVC Digital Studios,6,publisher,company-logos/jvc-digital-studios.svg,PLACEHOLDER_GENERADO,FALSE,LOW,TRUE,,,ALIAS_MAY_BE_RENAME_OR_SUCCESSOR,,,,,,,,,,,,https://www.regionatlas.games/compania/jvc-digital-studios,,,,,,,image/svg+xml,1200,600,b3c08ba7f102c55367251ddd3bc5178a3a35fe4e6e145bca1a4cfa569efc02cf,No exact authentic logo was documented in the researched sources.
kce-yokohama,KCE Yokohama,6,developer,company-logos/kce-yokohama.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/kce-yokohama,,,,,,,image/svg+xml,1200,600,ddf2d0942e270eebf24baf0daa327f0a1080e912fe0f1346d0b297dc196d0365,No exact authentic logo was documented in the researched sources.
keen-games,Keen Games,6,developer,company-logos/keen-games.svg,SITIO_OFICIAL_DOCUMENTADO,TRUE,VERY_HIGH,TRUE,Q669722,Keen Games,WIKIDATA_SEARCH_EXACT_LABEL,intro-keen-games-logo.svg,https://www.keengames.com/,https://www.keengames.com/media/Logos/intro-keen-games-logo.svg?width=200&height=200&rmode=crop&token=RCbukZp74kziGqbU24TtcOjLNcGWfyTgEm2OUCIHYck%3D,Official-site asset; copyright/trademark status not explicitly licensed,,,,https://www.keengames.com/,https://www.wikidata.org/wiki/Q669722,,,https://www.regionatlas.games/compania/keen-games,+2005-01-01T00:00:00Z,,,,Q1270209,,image/svg+xml,130,130,23c51203d958c5a70d2858afb77f44da6b00886bbf4953371c6b314129782564,Official-site asset; copyright/trademark license was not explicitly stated and should be reviewed before publication.
kotobuki-systems,Kotobuki Systems,6,publisher,company-logos/kotobuki-systems.svg,PLACEHOLDER_GENERADO,FALSE,,TRUE,,,,,,,,,,,,,,,https://www.regionatlas.games/compania/kotobuki-systems,,,,,,,image/svg+xml,1200,600,90d8a63cf3f5eeaca44257d08122532aabb4e59af018487b6430410c8a6bfe8f,No exact authentic logo was documented in the researched sources.
krafton,Krafton Inc.,6,both,company-logos/krafton.svg,WIKIMEDIA_DOCUMENTADO,TRUE,HIGH,FALSE,Q4035237,Krafton,WIKIDATA_SEARCH_LEGAL_SUFFIX_LABEL,Krafton Logo.svg,https://commons.wikimedia.org/wiki/File:Krafton_Logo.svg,https://upload.wikimedia.org/wikipedia/commons/1/14/Krafton_Logo.svg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Public domain,,https://brandcenter.krafton.com,Krafton Inc.,https://www.bluehole.net/en/ | https://www.krafton.com/,https://www.wikidata.org/wiki/Q4035237,https://es.wikipedia.org/wiki/Krafton,https://en.wikipedia.org/wiki/Krafton,https://www.regionatlas.games/compania/krafton,+2007-03-26T00:00:00Z,,,Q860580,,,image/svg+xml,120,20,9f80f6fba90b778b955c2cbdb99a855df50adc3b75cb1a1b6a02407afb5e2eb7,
